corp_code,corp_name,stock_code,rcept_dt,report_name,rcept_no,report_text,dividend_amount
974459,비앤에스미디어,156170,20160216,현금ㆍ현물배당결정,20160216600303,,
974459,비앤에스미디어,156170,20150216,현금ㆍ현물배당결정,20150216600387,,
461690,세화피앤씨,85980,20170310,현금ㆍ현물배당결정,20170310600222,,
461690,세화피앤씨,85980,20160304,현금ㆍ현물배당결정,20160304600345,,
461690,세화피앤씨,85980,20150305,현금ㆍ현물배당결정,20150305600461,,
461690,세화피앤씨,85980,20140304,현금ㆍ현물배당결정,20140304600369,,
967778,나이코,192240,20160331,[기재정정]현금ㆍ현물배당결정,20160331600430,,
967778,나이코,192240,20151217,현금ㆍ현물배당결정,20151217600523,,
967778,나이코,192240,20150331,[기재정정]현금ㆍ현물배당결정,20150331601386,,
967778,나이코,192240,20150109,[기재정정]현금ㆍ현물배당결정,20150109600048,,
967778,나이코,192240,20141219,현금ㆍ현물배당결정,20141219600699,,
130949,카카오엠,16170,20180207,현금ㆍ현물배당결정,20180207901055,,
130949,카카오엠,16170,20170209,현금ㆍ현물배당결정,20170209900880,,
1090921,케이엠제약,237720,20180503,현금ㆍ현물배당결정,20180503600578,,
1090921,케이엠제약,237720,20170511,현금ㆍ현물배당결정,20170511600728,,
1090921,케이엠제약,237720,20160512,현금ㆍ현물배당결정,20160512600527,,
163789,심팩메탈,90730,20180227,현금ㆍ현물배당결정,20180227900829,,
163789,심팩메탈,90730,20170227,현금ㆍ현물배당결정,20170227900783,,
163789,심팩메탈,90730,20160224,현금ㆍ현물배당결정,20160224900730,,
163789,심팩메탈,90730,20150226,현금ㆍ현물배당결정,20150226901016,,
163789,심팩메탈,90730,20140303,현금ㆍ현물배당결정,20140303900508,,
838421,씨제이이앤엠,130960,20180207,현금ㆍ현물배당결정,20180207900697,,
838421,씨제이이앤엠,130960,20180117,수시공시의무관련사항(공정공시)(2017년 사업연도(제8기) 및 2018년 사업연도 현금배당 계획),20180117900421,,
842327,완리인터내셔널홀딩스,900180,20170524,[기재정정]주식배당결정,20170524900097,,
842327,완리인터내셔널홀딩스,900180,20161227,배당락,20161227900588,,
842327,완리인터내셔널홀딩스,900180,20161220,주식배당결정,20161220900038,,
156044,하림홀딩스,24660,20180212,현금ㆍ현물배당결정,20180212900921,,
156044,하림홀딩스,24660,20180207,현금ㆍ현물배당결정(자회사의 주요경영사항),20180207900696,,
109170,대덕GDS,4130,20180226,현금ㆍ현물배당결정,20180226800731,,
109170,대덕GDS,4130,20170227,현금ㆍ현물배당결정,20170227800637,,
1170962,GRT,900290,20250620,[기재정정]현금ㆍ현물배당결정              ,20250620900475,,
1170962,GRT,900290,20250613,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20250613900357,,
1170962,GRT,900290,20250319,[기재정정]현금ㆍ현물배당결정              ,20250319900597,,
1170962,GRT,900290,20250124,[기재정정]현금ㆍ현물배당결정(자회사의 주요경영사항)              ,20250124900388,,
1170962,GRT,900290,20241210,[기재정정]중간(분기)배당을위한주주명부폐쇄(기준일)결정              ,20241210900505,,
1170962,GRT,900290,20241210,[기재정정]현금ㆍ현물배당결정              ,20241210900500,,
1170962,GRT,900290,20241120,[기재정정]중간(분기)배당을위한주주명부폐쇄(기준일)결정              ,20241120900399,,
1170962,GRT,900290,20241120,[기재정정]현금ㆍ현물배당결정              ,20241120900397,,
1170962,GRT,900290,20241106,중간(분기)배당을위한주주명부폐쇄(기준일)결정              ,20241106900518,,
1170962,GRT,900290,20241106,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241106900376,,
1170962,GRT,900290,20241106,현금ㆍ현물배당결정              ,20241106900373,,
1170962,GRT,900290,20241106,현금ㆍ현물배당결정(자회사의 주요경영사항)              ,20241106900370,,
1170962,GRT,900290,20241106,현금ㆍ현물배당결정(자회사의 주요경영사항)              ,20241106900366,,
1170962,GRT,900290,20240930,배당락              (주식배당),20240930900741,,
1170962,GRT,900290,20240919,주식배당결정              ,20240919900419,,
1170962,GRT,900290,20240919,주권매매거래정지              (주식배당),20240919900434,,
790121,차이나하오란리사이클링유한공사,900090,20180502,기타주요경영사항(종속회사의주요경영사항)(현금배당철회),20180502900729,,
790121,차이나하오란리사이클링유한공사,900090,20171030,[기재정정]현금ㆍ현물배당결정(자회사의 주요경영사항),20171030900488,,
790121,차이나하오란리사이클링유한공사,900090,20170825,현금ㆍ현물배당결정(자회사의 주요경영사항),20170825900356,,
569992,원익테라세미콘,123100,20180222,현금ㆍ현물배당결정,20180222900361,,
569992,원익테라세미콘,123100,20170223,현금ㆍ현물배당결정,20170223900325,,
835734,피엠디아카데미,144740,20150202,현금ㆍ현물배당결정,20150202600421,,
865382,트러스와이제7호위탁관리부동산투자회사,140890,20151211,부동산투자회사금전배당결정,20151211800683,,
580180,포인트엔지니어링,176560,20190201,현금ㆍ현물배당결정,20190201600142,,
580180,포인트엔지니어링,176560,20180202,현금ㆍ현물배당결정,20180202600357,,
410678,다린,204690,20170206,현금ㆍ현물배당결정,20170206600612,,
410678,다린,204690,20160203,현금ㆍ현물배당결정,20160203600678,,
695464,차이나그레이트스타인터내셔널리미티드,900040,20170508,[기재정정]주식배당결정,20170508900341,,
695464,차이나그레이트스타인터내셔널리미티드,900040,20161227,배당락,20161227900591,,
695464,차이나그레이트스타인터내셔널리미티드,900040,20161220,주식배당결정,20161220900379,,
938688,SBI핀테크솔루션즈,950110,20230601,현금ㆍ현물배당결정,20230601900235,,
938688,SBI핀테크솔루션즈,950110,20220530,현금ㆍ현물배당결정,20220530900498,,
1186811,티에스트릴리온,284610,20200121,현금ㆍ현물배당결정,20200121600395,,
1186811,티에스트릴리온,284610,20190314,[기재정정]현금ㆍ현물배당결정,20190314600837,,
1186811,티에스트릴리온,284610,20190214,현금ㆍ현물배당결정,20190214600540,,
598587,인터파크,108790,20200212,현금ㆍ현물배당결정,20200212900768,,
598587,인터파크,108790,20190213,현금ㆍ현물배당결정,20190213900908,,
351418,코리아오토글라스,152330,20200212,현금ㆍ현물배당결정,20200212800485,,
351418,코리아오토글라스,152330,20190212,현금ㆍ현물배당결정,20190212800639,,
351418,코리아오토글라스,152330,20180209,현금ㆍ현물배당결정,20180209800462,,
159290,한국아트라스비엑스,23890,20210225,현금ㆍ현물배당결정,20210225900832,,
159290,한국아트라스비엑스,23890,20200227,현금ㆍ현물배당결정,20200227901231,,
159290,한국아트라스비엑스,23890,20190225,현금ㆍ현물배당결정,20190225901185,,
116356,동성화학,5190,20210309,현금ㆍ현물배당결정,20210309800941,,
116356,동성화학,5190,20200227,현금ㆍ현물배당결정,20200227800246,,
116356,동성화학,5190,20190312,현금ㆍ현물배당결정,20190312801451,,
116356,동성화학,5190,20180313,현금ㆍ현물배당결정,20180313800579,,
116356,동성화학,5190,20170302,현금ㆍ현물배당결정,20170302801041,,
288495,홈센타홀딩스,60560,20250421,[기재정정]현금ㆍ현물배당결정              ,20250421900266,,
288495,홈센타홀딩스,60560,20250311,현금ㆍ현물배당결정(자회사의 주요경영사항)              ,20250311900805,,
288495,홈센타홀딩스,60560,20250311,현금ㆍ현물배당결정              ,20250311900801,,
288495,홈센타홀딩스,60560,20241216,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항)              ,20241216900580,,
288495,홈센타홀딩스,60560,20241216,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241216900566,,
288495,홈센타홀딩스,60560,20241101,수시공시의무관련사항(공정공시)              (2024년 사업연도(제37기) 현금배당 계획),20241101900461,,
288495,홈센타홀딩스,60560,20241018,[기재정정]현금ㆍ현물배당결정              ,20241018900551,,
288495,홈센타홀딩스,60560,20241018,[기재정정]현금ㆍ현물배당결정              ,20241018900547,,
288495,홈센타홀딩스,60560,20241018,[기재정정]현금ㆍ현물배당결정              ,20241018900544,,
288495,홈센타홀딩스,60560,20241018,기타경영사항(자율공시)              (현금배당 결정 정정(배당 무효)),20241018900536,,
173944,우진,105840,20250611,현금ㆍ현물배당결정              ,20250611800124,,
173944,우진,105840,20250611,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20250611800118,,
173944,우진,105840,20250220,현금ㆍ현물배당결정              ,20250220800145,,
173944,우진,105840,20241211,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241211800157,,
173944,우진,105840,20240610,현금ㆍ현물배당결정              ,20240610800280,,
173944,우진,105840,20240610,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20240610800252,,
173944,우진,105840,20240219,현금ㆍ현물배당결정              ,20240219800476,,
173944,우진,105840,20230703,현금ㆍ현물배당결정,20230703800304,,
173944,우진,105840,20230607,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20230607800221,,
482426,인화정공,101930,20250306,[기재정정]현금ㆍ현물배당결정              ,20250306900728,,
482426,인화정공,101930,20250224,현금ㆍ현물배당결정              ,20250224900184,,
482426,인화정공,101930,20240219,현금ㆍ현물배당결정              ,20240219900586,,
111874,대원산업,5710,20250306,현금ㆍ현물배당결정              ,20250306900898,,
111874,대원산업,5710,20240228,현금ㆍ현물배당결정              ,20240228901010,,
111874,대원산업,5710,20230307,현금ㆍ현물배당결정,20230307900478,,
111874,대원산업,5710,20220228,현금ㆍ현물배당결정,20220228901161,,
111874,대원산업,5710,20210226,현금ㆍ현물배당결정,20210226901316,,
111874,대원산업,5710,20200221,현금ㆍ현물배당결정,20200221900603,,
109286,대동,490,20250311,현금ㆍ현물배당결정              ,20250311801471,,
109286,대동,490,20240313,현금ㆍ현물배당결정              ,20240313800338,,
109286,대동,490,20230421,[기재정정]현금ㆍ현물배당결정,20230421800501,,
109286,대동,490,20230309,현금ㆍ현물배당결정,20230309800470,,
129350,삼화콘덴서공업,1820,20250213,현금ㆍ현물배당결정              ,20250213800999,,
129350,삼화콘덴서공업,1820,20240215,현금ㆍ현물배당결정              ,20240215800525,,
129350,삼화콘덴서공업,1820,20230216,현금ㆍ현물배당결정,20230216800519,,
129350,삼화콘덴서공업,1820,20220217,현금ㆍ현물배당결정,20220217800275,,
129350,삼화콘덴서공업,1820,20210218,현금ㆍ현물배당결정,20210218800568,,
129350,삼화콘덴서공업,1820,20200218,현금ㆍ현물배당결정,20200218800529,,
129350,삼화콘덴서공업,1820,20190208,현금ㆍ현물배당결정,20190208800682,,
144252,유니온,910,20250310,현금ㆍ현물배당결정              ,20250310800680,,
144252,유니온,910,20240311,현금ㆍ현물배당결정              ,20240311800438,,
144252,유니온,910,20230313,현금ㆍ현물배당결정,20230313800492,,
144252,유니온,910,20220307,현금ㆍ현물배당결정,20220307800401,,
144252,유니온,910,20210316,현금ㆍ현물배당결정,20210316800425,,
303217,우진플라임,49800,20250228,현금ㆍ현물배당결정              ,20250228800660,,
303217,우진플라임,49800,20250228,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20250228800641,,
303217,우진플라임,49800,20240223,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20240223800850,,
303217,우진플라임,49800,20240223,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20240223800712,,
303217,우진플라임,49800,20240223,현금ㆍ현물배당결정              ,20240223800599,,
303217,우진플라임,49800,20231218,기타경영사항(자율공시)(배당기준일 변경 안내),20231218800075,,
303217,우진플라임,49800,20230228,현금ㆍ현물배당결정,20230228800370,,
303217,우진플라임,49800,20220228,[기재정정]현금ㆍ현물배당결정,20220228801305,,
303217,우진플라임,49800,20220228,현금ㆍ현물배당결정,20220228800663,,
303217,우진플라임,49800,20210226,현금ㆍ현물배당결정,20210226800838,,
208134,KNN,58400,20250306,현금ㆍ현물배당결정              ,20250306900428,,
208134,KNN,58400,20240306,현금ㆍ현물배당결정              ,20240306900780,,
208134,KNN,58400,20230308,현금ㆍ현물배당결정,20230308900800,,
208134,KNN,58400,20220307,현금ㆍ현물배당결정,20220307900444,,
208134,KNN,58400,20210210,현금ㆍ현물배당결정,20210210900977,,
208134,KNN,58400,20200213,현금ㆍ현물배당결정,20200213900840,,
208134,KNN,58400,20190213,현금ㆍ현물배당결정(현금ㆍ현물배당 결정),20190213900699,,
125938,삼보판지,23600,20250220,현금ㆍ현물배당결정              ,20250220900779,,
125938,삼보판지,23600,20241211,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241211900271,,
125938,삼보판지,23600,20240904,현금ㆍ현물배당결정              ,20240904900166,,
125938,삼보판지,23600,20240904,중간(분기)배당을위한주주명부폐쇄(기준일)결정              ,20240904900165,,
125938,삼보판지,23600,20240314,현금ㆍ현물배당결정              ,20240314900910,,
125938,삼보판지,23600,20231213,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231213900343,,
125938,삼보판지,23600,20230217,현금ㆍ현물배당결정,20230217900492,,
125938,삼보판지,23600,20221214,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20221214900441,,
125938,삼보판지,23600,20220218,현금ㆍ현물배당결정,20220218900326,,
125938,삼보판지,23600,20211215,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20211215900592,,
125938,삼보판지,23600,20210219,현금ㆍ현물배당결정,20210219900293,,
1036446,서연이화,200880,20250307,현금ㆍ현물배당결정              ,20250307801056,,
1036446,서연이화,200880,20240313,현금ㆍ현물배당결정              ,20240313802137,,
1036446,서연이화,200880,20230314,현금ㆍ현물배당결정,20230314801757,,
1036446,서연이화,200880,20220310,현금ㆍ현물배당결정,20220310801625,,
1036446,서연이화,200880,20210311,현금ㆍ현물배당결정,20210311801843,,
1068348,러셀,217500,20250224,현금ㆍ현물배당결정              ,20250224900575,,
1068348,러셀,217500,20240202,현금ㆍ현물배당결정,20240202900995,,
1068348,러셀,217500,20230310,현금ㆍ현물배당결정,20230310900817,,
1068348,러셀,217500,20220406,[기재정정]현금ㆍ현물배당결정,20220406900672,,
1068348,러셀,217500,20220214,현금ㆍ현물배당결정,20220214900647,,
1068348,러셀,217500,20211215,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20211215901346,,
1068348,러셀,217500,20210219,현금ㆍ현물배당결정,20210219900679,,
1236286,컬러레이,900310,20240226,현금ㆍ현물배당결정              ,20240226900482,,
1236286,컬러레이,900310,20231208,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231208900127,,
1015726,미래테크놀로지,213090,20210309,현금ㆍ현물배당결정,20210309900358,,
1015726,미래테크놀로지,213090,20200310,현금ㆍ현물배당결정,20200310900797,,
1015726,미래테크놀로지,213090,20190306,현금ㆍ현물배당결정,20190306900659,,
650629,SBS미디어홀딩스,101060,20210303,현금ㆍ현물배당결정(자회사의 주요경영사항),20210303800393,,
650629,SBS미디어홀딩스,101060,20200227,현금ㆍ현물배당결정(자회사의 주요경영사항),20200227800893,,
650629,SBS미디어홀딩스,101060,20200226,현금ㆍ현물배당결정(자회사의 주요경영사항),20200226800652,,
163691,유수홀딩스,700,20250214,현금ㆍ현물배당결정              ,20250214801129,,
163691,유수홀딩스,700,20250214,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20250214801137,,
163691,유수홀딩스,700,20241213,기타경영사항(자율공시)              (배당기준일 변경 안내),20241213801031,,
163691,유수홀딩스,700,20240213,현금ㆍ현물배당결정              ,20240213800918,,
163691,유수홀딩스,700,20231215,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231215801954,,
207755,지에스홈쇼핑,28150,20210210,현금ㆍ현물배당결정,20210210900859,,
132318,성광벤드,14620,20250226,현금ㆍ현물배당결정              ,20250226900156,,
132318,성광벤드,14620,20241213,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241213900389,,
132318,성광벤드,14620,20240226,현금ㆍ현물배당결정              ,20240226900291,,
132318,성광벤드,14620,20231214,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231214900309,,
132318,성광벤드,14620,20230224,현금ㆍ현물배당결정,20230224900295,,
563147,에스에이티,158300,20210210,현금ㆍ현물배당결정,20210210600907,,
563147,에스에이티,158300,20190211,현금ㆍ현물배당결정,20190211600475,,
563147,에스에이티,158300,20170227,현금ㆍ현물배당결정,20170227600791,,
153524,태림포장,11280,20240306,[기재정정]현금ㆍ현물배당결정              ,20240306800959,,
153524,태림포장,11280,20240306,현금ㆍ현물배당결정              (2023.03.06),20240306800651,,
153524,태림포장,11280,20230307,현금ㆍ현물배당결정,20230307800810,,
153524,태림포장,11280,20220225,현금ㆍ현물배당결정,20220225800516,,
962223,지니언스,263860,20250324,[기재정정]현금ㆍ현물배당결정              ,20250324900323,,
962223,지니언스,263860,20250219,현금ㆍ현물배당결정              ,20250219900134,,
962223,지니언스,263860,20241216,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241216900594,,
962223,지니언스,263860,20240321,[기재정정]현금ㆍ현물배당결정              ,20240321900759,,
962223,지니언스,263860,20240220,현금ㆍ현물배당결정              ,20240220900262,,
962223,지니언스,263860,20231215,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231215900559,,
962223,지니언스,263860,20230323,[기재정정]현금ㆍ현물배당결정,20230323901112,,
105156,극동유화,14530,20250313,현금ㆍ현물배당결정              ,20250313801351,,
105156,극동유화,14530,20240314,현금ㆍ현물배당결정              ,20240314800330,,
105156,극동유화,14530,20230316,현금ㆍ현물배당결정,20230316800339,,
105156,극동유화,14530,20220316,현금ㆍ현물배당결정,20220316800848,,
105156,극동유화,14530,20210315,현금ㆍ현물배당결정,20210315800845,,
176792,오렌지라이프생명보험,79440,20200204,현금ㆍ현물배당결정,20200204800570,,
176792,오렌지라이프생명보험,79440,20190812,현금ㆍ현물배당결정,20190812800253,,
176792,오렌지라이프생명보험,79440,20190521,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20190521800612,,
176792,오렌지라이프생명보험,79440,20190211,현금ㆍ현물배당결정,20190211801121,,
176792,오렌지라이프생명보험,79440,20180813,현금ㆍ현물배당결정,20180813800158,,
351630,세코닉스,53450,20250228,현금ㆍ현물배당결정              ,20250228900725,,
351630,세코닉스,53450,20241216,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241216900319,,
351630,세코닉스,53450,20240229,현금ㆍ현물배당결정              ,20240229900381,,
351630,세코닉스,53450,20231215,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231215900540,,
568461,보광산업,225530,20250311,현금ㆍ현물배당결정              ,20250311900786,,
568461,보광산업,225530,20241216,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241216900579,,
568461,보광산업,225530,20240308,현금ㆍ현물배당결정              ,20240308900433,,
568461,보광산업,225530,20231215,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231215900866,,
568461,보광산업,225530,20231010,현금ㆍ현물배당결정,20231010900261,,
568461,보광산업,225530,20230908,중간(분기)배당을위한주주명부폐쇄(기준일)결정,20230908900333,,
568461,보광산업,225530,20230310,[기재정정]현금ㆍ현물배당결정,20230310900874,,
146649,일진홀딩스,15860,20250305,현금ㆍ현물배당결정              ,20250305800405,,
146649,일진홀딩스,15860,20250305,현금ㆍ현물배당결정(자회사의 주요경영사항)              ,20250305800134,,
146649,일진홀딩스,15860,20241216,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항)              ,20241216800755,,
146649,일진홀딩스,15860,20241213,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241213801240,,
146649,일진홀딩스,15860,20240306,현금ㆍ현물배당결정              ,20240306800171,,
146649,일진홀딩스,15860,20240306,현금ㆍ현물배당결정(자회사의 주요경영사항)              ,20240306800136,,
146649,일진홀딩스,15860,20231215,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231215800288,,
146649,일진홀딩스,15860,20231214,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항),20231214801533,,
146649,일진홀딩스,15860,20230308,현금ㆍ현물배당결정(자회사의 주요경영사항),20230308800396,,
146649,일진홀딩스,15860,20230308,현금ㆍ현물배당결정,20230308800165,,
146649,일진홀딩스,15860,20220310,현금ㆍ현물배당결정,20220310801825,,
146649,일진홀딩스,15860,20220310,현금ㆍ현물배당결정(자회사의 주요경영사항),20220310800680,,
148443,제일파마홀딩스,2620,20250305,현금ㆍ현물배당결정              ,20250305800370,,
148443,제일파마홀딩스,2620,20240227,현금ㆍ현물배당결정              ,20240227800542,,
148443,제일파마홀딩스,2620,20230303,현금ㆍ현물배당결정,20230303800892,,
148443,제일파마홀딩스,2620,20220304,현금ㆍ현물배당결정,20220304800779,,
148443,제일파마홀딩스,2620,20210226,현금ㆍ현물배당결정,20210226800395,,
148443,제일파마홀딩스,2620,20200228,현금ㆍ현물배당결정,20200228800997,,
148443,제일파마홀딩스,2620,20190226,현금ㆍ현물배당결정,20190226800763,,
148939,조광피혁,4700,20220307,현금ㆍ현물배당결정,20220307800829,,
966168,디알젬,263690,20250213,현금ㆍ현물배당결정              ,20250213900920,,
966168,디알젬,263690,20240411,[기재정정]현금ㆍ현물배당결정              ,20240411900120,,
966168,디알젬,263690,20240207,현금ㆍ현물배당결정              ,20240207901427,,
966168,디알젬,263690,20230407,[기재정정]현금ㆍ현물배당결정,20230407900795,,
966168,디알젬,263690,20230125,현금ㆍ현물배당결정,20230125900411,,
966168,디알젬,263690,20220413,[기재정정]현금ㆍ현물배당결정,20220413900368,,
966168,디알젬,263690,20220127,현금ㆍ현물배당결정,20220127900792,,
966168,디알젬,263690,20210201,현금ㆍ현물배당결정,20210201900324,,
1255652,레이크머티리얼즈,281740,20250210,현금ㆍ현물배당결정              ,20250210900611,,
1255652,레이크머티리얼즈,281740,20241213,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241213900835,,
664181,인텔리안테크,189300,20241223,현금ㆍ현물배당결정              ,20241223900164,,
664181,인텔리안테크,189300,20240307,현금ㆍ현물배당결정              ,20240307900300,,
1213586,아이디피,332370,20250205,현금ㆍ현물배당결정              ,20250205900324,,
1213586,아이디피,332370,20240205,현금ㆍ현물배당결정              ,20240205900594,,
1213586,아이디피,332370,20230207,현금ㆍ현물배당결정,20230207900423,,
1213586,아이디피,332370,20220407,[기재정정]현금ㆍ현물배당결정,20220407900740,,
1213586,아이디피,332370,20220210,현금ㆍ현물배당결정,20220210900222,,
396925,엠로,58970,20241211,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241211900424,,
396925,엠로,58970,20231213,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231213900584,,
1141942,액트로,290740,20241216,현금ㆍ현물배당결정              ,20241216900472,,
1141942,액트로,290740,20241213,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241213900584,,
1141942,액트로,290740,20240102,[기재정정]현금ㆍ현물배당결정,20240102900164,,
1141942,액트로,290740,20231220,현금ㆍ현물배당결정,20231220900153,,
1141942,액트로,290740,20231213,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231213900268,,
1141942,액트로,290740,20230406,[기재정정]현금ㆍ현물배당결정,20230406900099,,
1141942,액트로,290740,20221228,[기재정정]현금ㆍ현물배당결정,20221228900093,,
1141942,액트로,290740,20221223,현금ㆍ현물배당결정,20221223900106,,
1141942,액트로,290740,20221222,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20221222900090,,
1141942,액트로,290740,20220223,현금ㆍ현물배당결정,20220223900625,,
1141942,액트로,290740,20210203,현금ㆍ현물배당결정,20210203900590,,
524421,테스,95610,20241227,[기재정정]현금ㆍ현물배당결정              ,20241227900132,,
524421,테스,95610,20241220,현금ㆍ현물배당결정              ,20241220900152,,
524421,테스,95610,20231227,[기재정정]현금ㆍ현물배당결정,20231227900068,,
524421,테스,95610,20231220,현금ㆍ현물배당결정,20231220900140,,
524421,테스,95610,20221229,[기재정정]현금ㆍ현물배당결정,20221229900173,,
524421,테스,95610,20221222,현금ㆍ현물배당결정,20221222900136,,
524421,테스,95610,20211228,[기재정정]현금ㆍ현물배당결정,20211228900658,,
524421,테스,95610,20211222,현금ㆍ현물배당결정,20211222900274,,
556712,힘스,238490,20241213,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241213900157,,
556712,힘스,238490,20240214,현금ㆍ현물배당결정              ,20240214900438,,
556712,힘스,238490,20231211,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231211900365,,
447760,미래컴퍼니,49950,20241213,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20241213901149,,
447760,미래컴퍼니,49950,20240208,현금ㆍ현물배당결정              ,20240208901245,,
447760,미래컴퍼니,49950,20231215,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20231215901366,,
447760,미래컴퍼니,49950,20230208,현금ㆍ현물배당결정,20230208900418,,
447760,미래컴퍼니,49950,20221227,배당락(주식배당),20221227900892,,
447760,미래컴퍼니,49950,20221215,주식배당결정,20221215901157,,
447760,미래컴퍼니,49950,20221215,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,20221215901144,,
447760,미래컴퍼니,49950,20220311,현금ㆍ현물배당결정,20220311901548,,
447760,미래컴퍼니,49950,20211228,배당락(주식배당),20211228900771,,
447760,미래컴퍼니,49950,20211216,[기재정정]주식배당결정,20211216901340,,
447760,미래컴퍼니,49950,20211216,주식배당결정,20211216900300,,
