corp_name,stock_code,rcept_dt,report_nm,rcept_no,per_share_common,yield_common,total_amount,record_date,payment_date,meeting_held,meeting_date,board_decision_date,days_to_payment,days_to_payment_missing
화인자산관리,10460,1970-01-01 00:00:00.020130304,현금ㆍ현물배당결정,20130304800718,500.0,2.0,4634346000.0,2012-12-31,2013-04-22,미개최,2013-03-22,2013-03-04,15816.0,0
제일모직,1300,1970-01-01 00:00:00.020140128,현금ㆍ현물배당결정,20140128800458,750.0,0.9,37761422250.0,2013-12-31,,개최,-,2014-01-28,-1.0,1
아루히,950100,1970-01-01 00:00:00.020140521,[기재정정]현금ㆍ현물배당결정,20140521800273,171.0,1.5,4072051571.0,2014-03-31,2014-06-13,개최,2014-06-11,2014-05-07,16233.0,0
아루히,950100,1970-01-01 00:00:00.020140507,현금ㆍ현물배당결정,20140507800405,171.0,1.5,4072051571.0,2014-03-31,2014-06-13,개최,-,2014-05-07,16233.0,0
제일모직,1300,1970-01-01 00:00:00.020130130,현금ㆍ현물배당결정,20130130800397,750.0,0.79,37951389750.0,2012-12-31,,개최,-,2013-01-30,-1.0,1
아루히,950100,1970-01-01 00:00:00.020131023,현금ㆍ현물배당결정,20131023800220,162.0,1.0,3852060343.0,2013-09-30,2013-12-04,미개최,-,2013-10-23,16042.0,0
SK,3600,1970-01-01 00:00:00.020150723,현금ㆍ현물배당결정(자회사의 주요경영사항),20150723800492,1000.0,0.4,72629160000.0,2015-06-30,,미개최,-,2015-07-23,-1.0,1
아루히,950100,1970-01-01 00:00:00.020130515,현금ㆍ현물배당결정,20130515801036,186.0,1.5,4417853481.0,2013-03-31,2013-06-24,개최,2013-06-19,2013-05-15,15879.0,0
SK,3600,1970-01-01 00:00:00.020150206,현금ㆍ현물배당결정(자회사의 주요경영사항),20150206800028,8400.0,3.5,595865222400.0,2014-12-31,,개최,-,2015-02-05,-1.0,1
SK,3600,1970-01-01 00:00:00.020150205,현금ㆍ현물배당결정,20150205800526,2500.0,1.5,90743180800.0,2014-12-31,,개최,-,2015-02-05,-1.0,1
SK,3600,1970-01-01 00:00:00.020140206,현금ㆍ현물배당결정,20140206800721,2500.0,1.3,102493180800.0,2013-12-31,,개최,-,2014-02-06,-1.0,1
SK,3600,1970-01-01 00:00:00.020140207,현금ㆍ현물배당결정(자회사의 주요경영사항),20140207800009,8400.0,3.7,595865222400.0,2013-12-31,,개최,-,2014-02-06,-1.0,1
SK,3600,1970-01-01 00:00:00.020140725,현금ㆍ현물배당결정(자회사의 주요경영사항),20140725800002,1000.0,0.4,70936336000.0,2014-06-30,,미개최,-,2014-07-24,-1.0,1
SK,3600,1970-01-01 00:00:00.020140204,현금ㆍ현물배당결정(자회사의 주요경영사항),20140204800004,3200.0,2.3,298278499300.0,2013-12-31,,개최,-,2014-02-03,-1.0,1
SK,3600,1970-01-01 00:00:00.020130726,현금ㆍ현물배당결정(자회사의 주요경영사항),20130726800004,1000.0,0.49,70508482000.0,2013-06-30,,미개최,-,2013-07-25,-1.0,1
SK,3600,1970-01-01 00:00:00.020130208,현금ㆍ현물배당결정(자회사의 주요경영사항),20130208800135,8400.0,5.3,585437991600.0,2012-12-31,,개최,-,2013-02-07,-1.0,1
SK,3600,1970-01-01 00:00:00.020130205,현금ㆍ현물배당결정,20130205800268,2500.0,1.5,102493180800.0,2012-12-31,,개최,-,2013-02-05,-1.0,1
SK,3600,1970-01-01 00:00:00.020130201,현금ㆍ현물배당결정(자회사의 주요경영사항),20130201800530,3200.0,1.8,298278499300.0,2012-12-31,,개최,-,2013-02-01,-1.0,1
세화피앤씨,85980,1970-01-01 00:00:00.020170310,현금ㆍ현물배당결정,20170310600222,50.0,0.57,189242500.0,2016-12-31,,주주총회,2017-03-29,2017-03-10,-1.0,1
세화피앤씨,85980,1970-01-01 00:00:00.020160304,현금ㆍ현물배당결정,20160304600345,30.0,0.94,111118500.0,2015-12-31,,주주총회,2016-03-29,2016-03-04,-1.0,1
세화피앤씨,85980,1970-01-01 00:00:00.020150305,현금ㆍ현물배당결정,20150305600461,25.0,1.81,92598750.0,2014-12-31,,주주총회,2015-03-27,2015-03-05,-1.0,1
세화피앤씨,85980,1970-01-01 00:00:00.020140304,현금ㆍ현물배당결정,20140304600369,40.0,1.26,148158000.0,2013-12-31,,주주총회,2014-03-26,2014-03-04,-1.0,1
대성합동지주,5620,1970-01-01 00:00:00.020140304,현금ㆍ현물배당결정(자회사의 주요경영사항),20140304800356,850.0,1.5,3068500000.0,2013-12-31,2014-04-24,개최,2014-03-25,2014-03-03,16183.0,0
대성합동지주,5620,1970-01-01 00:00:00.020140825,현금ㆍ현물배당결정(자회사의 주요경영사항),20140825800625,69087.0,1.5,249405392920.0,2014-08-25,,미개최,-,2014-08-25,-1.0,1
대성합동지주,5620,1970-01-01 00:00:00.020130314,[기재정정]현금ㆍ현물배당결정,20130314801674,1000.0,3.06,1395153000.0,2012-12-31,2013-04-08,개최,2013-03-22,2013-03-05,15802.0,0
대성합동지주,5620,1970-01-01 00:00:00.020130305,현금ㆍ현물배당결정,20130305800766,1000.0,3.06,1395153000.0,2012-12-31,2013-04-08,개최,2013-03-22,2013-03-05,15802.0,0
대성합동지주,5620,1970-01-01 00:00:00.020130312,현금ㆍ현물배당결정(자회사의 주요경영사항),20130312800001,15000.0,1.5,60000000000.0,2012-12-31,2013-04-26,개최,2013-03-27,2013-03-08,15820.0,0
나이코,192240,1970-01-01 00:00:00.020160331,[기재정정]현금ㆍ현물배당결정,20160331600430,0.0,1.5,0.0,2015-12-31,,주주총회,-,2015-12-17,-1.0,1
나이코,192240,1970-01-01 00:00:00.020151217,현금ㆍ현물배당결정,20151217600523,25.0,1.5,42707500.0,2015-12-31,,주주총회,-,2015-12-17,-1.0,1
나이코,192240,1970-01-01 00:00:00.020150331,[기재정정]현금ㆍ현물배당결정,20150331601386,75.0,1.5,128122500.0,2014-12-31,,주주총회,2015-03-31,2014-12-19,-1.0,1
나이코,192240,1970-01-01 00:00:00.020150109,[기재정정]현금ㆍ현물배당결정,20150109600048,25.0,0.5,42707500.0,2014-12-31,,주주총회,-,2014-12-19,-1.0,1
나이코,192240,1970-01-01 00:00:00.020141219,현금ㆍ현물배당결정,20141219600699,25.0,1.5,42707500.0,2014-12-31,,주주총회,-,2014-12-19,-1.0,1
카카오엠,16170,1970-01-01 00:00:00.020170209,현금ㆍ현물배당결정,20170209900880,1004.0,1.4,25392871820.0,2016-12-31,,주주총회,-,2017-02-09,-1.0,1
카카오엠,16170,1970-01-01 00:00:00.020180207,현금ㆍ현물배당결정,20180207901055,573.0,0.5,14492146965.0,2017-12-31,,주주총회,-,2018-02-07,-1.0,1
카카오엠,16170,1970-01-01 00:00:00.020150211,현금ㆍ현물배당결정,20150211900534,711.0,1.7,17982402255.0,2014-12-31,,주주총회,-,2015-02-11,-1.0,1
카카오엠,16170,1970-01-01 00:00:00.020130213,현금ㆍ현물배당결정,20130213900154,189.0,1.5,4780132245.0,2012-12-31,,개최,-,2013-02-13,-1.0,1
케이엠제약,237720,1970-01-01 00:00:00.020180503,현금ㆍ현물배당결정,20180503600578,50.0,0.24,112161900.0,2018-03-31,2018-07-24,주주총회,2018-06-25,2018-05-03,17735.0,0
케이엠제약,237720,1970-01-01 00:00:00.020170511,현금ㆍ현물배당결정,20170511600728,50.0,0.19,112161900.0,2017-03-31,2017-07-25,주주총회,2017-06-26,2017-05-10,17371.0,0
케이엠제약,237720,1970-01-01 00:00:00.020160512,현금ㆍ현물배당결정,20160512600527,50.0,0.14,101100000.0,2016-03-31,2016-07-23,주주총회,2016-06-24,2016-05-12,17004.0,0
심팩메탈,90730,1970-01-01 00:00:00.020180227,현금ㆍ현물배당결정,20180227900829,200.0,2.9,2392614000.0,2017-12-31,,주주총회,2018-03-26,2018-02-27,-1.0,1
심팩메탈,90730,1970-01-01 00:00:00.020170227,현금ㆍ현물배당결정,20170227900783,100.0,1.8,1226307000.0,2016-12-31,,주주총회,2017-03-23,2017-02-27,-1.0,1
심팩메탈,90730,1970-01-01 00:00:00.020160224,현금ㆍ현물배당결정,20160224900730,50.0,1.1,623153500.0,2015-12-31,,주주총회,2016-03-18,2016-02-24,-1.0,1
심팩메탈,90730,1970-01-01 00:00:00.020150226,현금ㆍ현물배당결정,20150226901016,80.0,1.5,1013045600.0,2014-12-31,,주주총회,2015-03-24,2015-02-26,-1.0,1
심팩메탈,90730,1970-01-01 00:00:00.020140303,현금ㆍ현물배당결정,20140303900508,80.0,1.2,1013045600.0,2013-12-31,,주주총회,2014-03-20,2014-03-03,-1.0,1
심팩메탈,90730,1970-01-01 00:00:00.020130304,현금ㆍ현물배당결정(현금배당),20130304900208,100.0,1.7,1265287000.0,2012-12-31,,주주총회,2013-03-19,2013-03-04,-1.0,1
씨제이이앤엠,130960,1970-01-01 00:00:00.020180207,현금ㆍ현물배당결정,20180207900697,250.0,0.3,9643756500.0,2017-12-31,,주주총회,2018-03-23,2018-02-07,-1.0,1
씨제이이앤엠,130960,1970-01-01 00:00:00.020170208,현금ㆍ현물배당결정,20170208900469,200.0,0.3,7714951400.0,2016-12-31,,주주총회,2017-03-24,2017-02-08,-1.0,1
씨제이이앤엠,130960,1970-01-01 00:00:00.020160204,현금ㆍ현물배당결정,20160204900587,200.0,0.3,7714798800.0,2015-12-31,,주주총회,2016-03-24,2016-02-04,-1.0,1
하림홀딩스,24660,1970-01-01 00:00:00.020180212,현금ㆍ현물배당결정,20180212900921,50.0,1.4,4296530850.0,2017-12-31,,주주총회,2018-03-27,2018-02-12,-1.0,1
하림홀딩스,24660,1970-01-01 00:00:00.020170209,현금ㆍ현물배당결정,20170209900581,50.0,1.2,4296530850.0,2016-12-31,,주주총회,2017-03-27,2017-02-09,-1.0,1
하림홀딩스,24660,1970-01-01 00:00:00.020180207,현금ㆍ현물배당결정(자회사의 주요경영사항),20180207900696,200.0,1.2,6615082000.0,2017-12-31,,개최,2018-03-23,2018-02-07,-1.0,1
하림홀딩스,24660,1970-01-01 00:00:00.020170203,현금ㆍ현물배당결정(자회사의 주요경영사항),20170203900227,2000.0,1.3,6738160000.0,2016-12-31,,개최,2017-03-17,2017-02-03,-1.0,1
하림홀딩스,24660,1970-01-01 00:00:00.020150209,현금ㆍ현물배당결정(자회사의 주요경영사항),20150209900758,1000.0,1.5,3369600000.0,2014-12-31,2014-04-25,주주총회,2015-03-25,2015-02-09,16184.0,0
하림홀딩스,24660,1970-01-01 00:00:00.020140213,현금ㆍ현물배당결정(자회사의 주요경영사항),20140213900457,8090.0,1.5,27260064000.0,2013-12-31,2014-04-25,주주총회,2014-03-26,2014-02-13,16184.0,0
하림홀딩스,24660,1970-01-01 00:00:00.020130619,현금ㆍ현물배당결정(자회사의 주요경영사항),20130619900151,5890.0,1.5,19846944000.0,2013-07-01,2013-07-18,이사회,-,2013-06-19,15903.0,0
대덕GDS,4130,1970-01-01 00:00:00.020170227,현금ㆍ현물배당결정,20170227800637,300.0,2.4,6580224400.0,2016-12-31,2017-04-10,개최,2017-03-17,2017-02-27,17265.0,0
대덕GDS,4130,1970-01-01 00:00:00.020180226,현금ㆍ현물배당결정,20180226800731,300.0,1.2,6580224400.0,2017-12-31,2018-04-10,개최,2018-03-16,2018-02-26,17630.0,0
대덕GDS,4130,1970-01-01 00:00:00.020160302,현금ㆍ현물배당결정,20160302800331,300.0,2.9,6732516400.0,2015-12-31,2016-04-11,개최,2016-03-18,2016-03-02,16901.0,0
대덕GDS,4130,1970-01-01 00:00:00.020150303,현금ㆍ현물배당결정,20150303800620,300.0,2.5,6732516400.0,2014-12-31,2015-04-10,개최,2015-03-20,2015-03-03,16534.0,0
대덕GDS,4130,1970-01-01 00:00:00.020140304,현금ㆍ현물배당결정,20140304800309,300.0,1.8,6456442900.0,2013-12-31,2014-04-17,개최,2014-03-21,2014-03-04,16176.0,0
스틸플라워,87220,1970-01-01 00:00:00.020130215,현금ㆍ현물배당결정,20130215900473,50.0,0.6,720997250.0,2012-12-31,,개최,-,2013-02-15,-1.0,1
대덕GDS,4130,1970-01-01 00:00:00.020130228,현금ㆍ현물배당결정,20130228800460,300.0,1.8,6456442900.0,2012-12-31,2013-04-10,개최,2013-03-15,2013-02-28,15804.0,0
GRT,900290,1970-01-01 00:00:00.020250620,[기재정정]현금ㆍ현물배당결정              ,20250620900475,58.25,1.4,4709505149.0,2025-03-05,,주주총회,2025-05-30,2024-11-06,-1.0,1
GRT,900290,1970-01-01 00:00:00.020250319,[기재정정]현금ㆍ현물배당결정              ,20250319900597,58.25,1.4,4709505149.0,2025-03-05,,주주총회,2025-05-30,2024-11-06,-1.0,1
GRT,900290,1970-01-01 00:00:00.020241210,[기재정정]현금ㆍ현물배당결정              ,20241210900500,58.25,1.4,4709505149.0,2025-03-05,,주주총회,2025-04-03,2024-11-06,-1.0,1
GRT,900290,1970-01-01 00:00:00.020241120,[기재정정]현금ㆍ현물배당결정              ,20241120900397,58.25,1.4,4709505149.0,2024-12-12,,주주총회,2025-01-14,2024-11-06,-1.0,1
GRT,900290,1970-01-01 00:00:00.020241106,현금ㆍ현물배당결정              ,20241106900373,58.25,1.4,4709505149.0,2024-11-21,,주주총회,2024-12-20,2024-11-06,-1.0,1
GRT,900290,1970-01-01 00:00:00.020171010,현금ㆍ현물배당결정,20171010900009,72.3,1.97,4871212500.0,2017-06-30,,주주총회,2017-10-27,2017-09-29,-1.0,1
차이나하오란리사이클링유한공사,900090,1970-01-01 00:00:00.020130315,현금ㆍ현물배당결정(자회사의 주요경영사항),20130315900675,8.572,1.5,411474617.0,2012-12-31,,주주총회,2013-04-24,2013-03-14,-1.0,1
차이나하오란리사이클링유한공사,900090,1970-01-01 00:00:00.020130314,현금ㆍ현물배당결정,20130314901416,10.0,0.6,400000000.0,2012-12-31,,주주총회,2013-04-25,2013-03-14,-1.0,1
원익테라세미콘,123100,1970-01-01 00:00:00.020180222,현금ㆍ현물배당결정,20180222900361,300.0,1.1,3362342700.0,2017-12-31,,주주총회,-,2018-02-22,-1.0,1
원익테라세미콘,123100,1970-01-01 00:00:00.020170223,현금ㆍ현물배당결정,20170223900325,150.0,0.6,1681171350.0,2016-12-31,,주주총회,2017-03-24,2017-02-23,-1.0,1
피엠디아카데미,144740,1970-01-01 00:00:00.020140213,현금ㆍ현물배당결정,20140213600484,200.0,3.3,522530800.0,2013-12-31,,주주총회,-,2014-02-13,-1.0,1
트러스와이제7호위탁관리부동산투자회사,140890,1970-01-01 00:00:00.020130621,현금ㆍ현물배당결정,20130621800340,158.0,3.8,1527536359.0,2013-04-30,2013-07-26,개최,2013-07-18,2013-06-21,15911.0,0
트러스와이제7호위탁관리부동산투자회사,140890,1970-01-01 00:00:00.020130709,[기재정정]현금ㆍ현물배당결정,20130709800528,158.0,3.8,1527536359.0,2013-04-30,2013-08-06,개최,2013-07-29,2013-06-21,15922.0,0
로스웰,900260,1970-01-01 00:00:00.020180425,[기재정정]현금ㆍ현물배당결정,20180425900871,54.58,2.9,1684239284.0,2017-12-31,,주주총회,2018-04-25,2017-12-21,-1.0,1
로스웰,900260,1970-01-01 00:00:00.020180108,[기재정정]현금ㆍ현물배당결정,20180108900773,52.56,2.8,1622225783.0,2017-12-31,,주주총회,-,2017-12-21,-1.0,1
로스웰,900260,1970-01-01 00:00:00.020171221,현금ㆍ현물배당결정,20171221900079,52.56,1.5,1622225783.0,2017-12-31,,주주총회,-,2017-12-21,-1.0,1
로스웰,900260,1970-01-01 00:00:00.020170313,현금ㆍ현물배당결정,20170313900083,51.99,1.9,4767336803.0,2016-12-31,,주주총회,-,2017-03-13,-1.0,1
포인트엔지니어링,176560,1970-01-01 00:00:00.020180202,현금ㆍ현물배당결정,20180202600357,400.0,0.7,992000000.0,2017-12-31,2018-04-10,주주총회,2018-03-23,2018-02-02,17630.0,0
포인트엔지니어링,176560,1970-01-01 00:00:00.020190201,현금ㆍ현물배당결정,20190201600142,200.0,1.3,1240000000.0,2018-12-31,,주주총회,-,2019-02-01,-1.0,1
썬테크놀로지스,122800,1970-01-01 00:00:00.020151230,[기재정정]현금ㆍ현물배당결정,20151230900797,150.0,0.9,606600000.0,2015-12-31,,주주총회,-,2015-12-23,-1.0,1
썬테크놀로지스,122800,1970-01-01 00:00:00.020160302,[기재정정]현금ㆍ현물배당결정,20160302900539,150.0,0.9,606600000.0,2015-12-31,,주주총회,2016-03-22,2015-12-23,-1.0,1
썬테크놀로지스,122800,1970-01-01 00:00:00.020151223,현금ㆍ현물배당결정,20151223900185,150.0,1.5,606600000.0,2015-12-31,,주주총회,-,2015-12-23,-1.0,1
썬테크놀로지스,122800,1970-01-01 00:00:00.020130221,현금ㆍ현물배당결정,20130221900404,60.0,1.2,231463920.0,2012-12-31,,개최,2013-03-26,2013-02-21,-1.0,1
다린,204690,1970-01-01 00:00:00.020160203,현금ㆍ현물배당결정,20160203600678,25.0,0.6,198333500.0,2015-12-31,,주주총회,-,2016-02-03,-1.0,1
다린,204690,1970-01-01 00:00:00.020170206,현금ㆍ현물배당결정,20170206600612,20.0,0.4,158666800.0,2016-12-31,,주주총회,-,2017-02-06,-1.0,1
SBI핀테크솔루션즈,950110,1970-01-01 00:00:00.020220530,현금ㆍ현물배당결정,20220530900498,168.0,2.4,3870160390.0,2022-03-31,2022-06-29,이사회,2022-06-24,2022-05-30,19171.0,0
SBI핀테크솔루션즈,950110,1970-01-01 00:00:00.020230601,현금ㆍ현물배당결정,20230601900235,162.0,3.2,3721309574.0,2023-03-31,2023-07-03,이사회,2023-06-28,2023-06-01,19540.0,0
SBI핀테크솔루션즈,950110,1970-01-01 00:00:00.020210527,현금ㆍ현물배당결정,20210527900139,174.0,2.0,4013800820.0,2021-03-31,2021-06-23,이사회,2021-06-18,2021-05-27,18800.0,0
SBI핀테크솔루션즈,950110,1970-01-01 00:00:00.020200528,현금ㆍ현물배당결정,20200528900230,195.0,3.1,4483881720.0,2020-03-31,2020-06-24,이사회,2020-06-19,2020-05-28,18436.0,0
SBI핀테크솔루션즈,950110,1970-01-01 00:00:00.020170530,현금ㆍ현물배당결정,20170530900277,101.0,2.5,1988213642.0,2017-03-31,2017-06-27,이사회,2017-06-22,2017-05-30,17343.0,0
SBI핀테크솔루션즈,950110,1970-01-01 00:00:00.020160530,현금ㆍ현물배당결정,20160530900429,107.0,2.7,2103887362.0,2016-03-31,2016-06-28,이사회,2016-06-23,2016-05-30,16979.0,0
SBI핀테크솔루션즈,950110,1970-01-01 00:00:00.020180529,현금ㆍ현물배당결정,20180529900363,137.0,1.7,3162314666.0,2018-03-31,2018-06-27,이사회,2018-06-22,2018-05-29,17708.0,0
SBI핀테크솔루션즈,950110,1970-01-01 00:00:00.020190529,현금ㆍ현물배당결정,20190529900321,185.0,1.5,4252777213.0,2019-03-31,2019-06-26,이사회,2019-06-21,2019-05-29,18072.0,0
SBI핀테크솔루션즈,950110,1970-01-01 00:00:00.020150526,현금ㆍ현물배당결정,20150526900597,90.0,2.8,1912836415.0,2015-03-31,2015-06-26,이사회,2015-06-23,2015-05-26,16611.0,0
SBI핀테크솔루션즈,950110,1970-01-01 00:00:00.020140528,현금ㆍ현물배당결정,20140528900463,50.0,1.5,1072094407.0,2014-03-31,2014-06-27,이사회,2014-06-24,2014-05-28,16247.0,0
티에스트릴리온,284610,1970-01-01 00:00:00.020200121,현금ㆍ현물배당결정,20200121600395,20.0,0.26,746396420.0,2019-12-31,,주주총회,2020-03-30,2020-01-21,-1.0,1
SBI핀테크솔루션즈,950110,1970-01-01 00:00:00.020130603,현금ㆍ현물배당결정,20130603900003,189.0,4.6,4055550316.0,2013-03-31,2013-06-28,주주총회,2013-06-25,2013-05-31,15883.0,0
티에스트릴리온,284610,1970-01-01 00:00:00.020190314,[기재정정]현금ㆍ현물배당결정,20190314600837,10.0,0.25,375206640.0,2018-12-31,2019-04-30,주주총회,2019-03-29,2019-02-14,18015.0,0
티에스트릴리온,284610,1970-01-01 00:00:00.020190214,현금ㆍ현물배당결정,20190214600540,10.0,0.25,375206340.0,2018-12-31,2019-04-30,주주총회,2019-03-29,2019-02-14,18015.0,0
인터파크,108790,1970-01-01 00:00:00.020190213,현금ㆍ현물배당결정,20190213900908,100.0,1.9,3286046300.0,2018-12-31,,주주총회,-,2019-02-13,-1.0,1
인터파크,108790,1970-01-01 00:00:00.020200212,현금ㆍ현물배당결정,20200212900768,150.0,2.98,4755072000.0,2019-12-31,,주주총회,-,2020-02-12,-1.0,1
티에스트릴리온,284610,1970-01-01 00:00:00.020180212,현금ㆍ현물배당결정,20180212600442,10.0,1.23,183665000.0,2017-12-31,2018-04-30,주주총회,2018-03-30,2018-02-12,17650.0,0
인터파크,108790,1970-01-01 00:00:00.020180213,현금ㆍ현물배당결정,20180213900864,150.0,1.6,4967967000.0,2017-12-31,,주주총회,-,2018-02-13,-1.0,1
인터파크,108790,1970-01-01 00:00:00.020170214,현금ㆍ현물배당결정,20170214900435,100.0,1.0,3303968000.0,2016-12-31,,주주총회,-,2017-02-14,-1.0,1
인터파크,108790,1970-01-01 00:00:00.020150210,현금ㆍ현물배당결정,20150210900243,100.0,0.4,3257010100.0,2014-12-31,,주주총회,-,2015-02-10,-1.0,1
크리스탈신소재,900250,1970-01-01 00:00:00.020180424,[기재정정]현금ㆍ현물배당결정,20180424900719,15.03,0.67,1019340000.0,2017-12-31,2018-05-30,주주총회,2018-04-24,2018-03-30,17680.0,0
인터파크,108790,1970-01-01 00:00:00.020160215,현금ㆍ현물배당결정,20160215900869,250.0,1.09,8222142250.0,2015-12-31,,주주총회,-,2016-02-15,-1.0,1
크리스탈신소재,900250,1970-01-01 00:00:00.020180330,현금ㆍ현물배당결정,20180330903144,15.01,0.67,1018080000.0,2017-12-31,2018-05-30,주주총회,2018-04-24,2018-03-30,17680.0,0
크리스탈신소재,900250,1970-01-01 00:00:00.020171027,[기재정정]현금ㆍ현물배당결정,20171027900140,12.51,0.47,848180506.0,2017-09-04,2017-10-30,주주총회,2017-09-29,2017-09-04,17468.0,0
크리스탈신소재,900250,1970-01-01 00:00:00.020170904,현금ㆍ현물배당결정,20170904900243,12.58,0.47,852500000.0,2017-09-04,,주주총회,2017-09-29,2017-09-04,-1.0,1
